lava-roupa;Brastemp;Plaza Sul;2/1/2022;76;518.0877534821682
lava-roupa;Brastemp;Center Norte;2/1/2022;76;518.0877534821682
lava-roupa;Brastemp;Light;2/1/2022;76;518.0877534821682
pipoqueira;Panasonic;Plaza Sul;2/1/2022;16;552.0461594574755
pipoqueira;Panasonic;Center Norte;2/1/2022;16;552.0461594574755
pipoqueira;Panasonic;Light;2/1/2022;16;552.0461594574755
pipoqueira;Asus;Plaza Sul;2/1/2022;58;1851.2041352537296
pipoqueira;Asus;Center Norte;2/1/2022;58;1851.2041352537296
pipoqueira;Asus;Light;2/1/2022;58;1851.2041352537296
TV;Xiaomi;Plaza Sul;2/1/2022;51;3176.1199689323807
TV;Xiaomi;Center Norte;2/1/2022;51;3176.1199689323807
TV;Xiaomi;Light;2/1/2022;51;3176.1199689323807
celular;Brastemp;Plaza Sul;2/1/2022;7;3241.66685997239
celular;Brastemp;Center Norte;2/1/2022;7;3241.66685997239
celular;Brastemp;Light;2/1/2022;7;3241.66685997239
notebook;LG;Plaza Sul;2/1/2022;21;2620.9237595100767
notebook;LG;Center Norte;2/1/2022;21;2620.9237595100767
notebook;LG;Light;2/1/2022;21;2620.9237595100767
lava-roupa;Arno;Plaza Sul;2/1/2022;20;2983.5934853467197
lava-roupa;Arno;Center Norte;2/1/2022;20;2983.5934853467197
lava-roupa;Arno;Light;2/1/2022;20;2983.5934853467197
TV;Panasonic;Plaza Sul;2/1/2022;96;3542.291058195413
TV;Panasonic;Center Norte;2/1/2022;96;3542.291058195413
TV;Panasonic;Light;2/1/2022;96;3542.291058195413
lava-roupa;Panasonic;Plaza Sul;2/1/2022;87;2877.9420428047506
lava-roupa;Panasonic;Center Norte;2/1/2022;87;2877.9420428047506
lava-roupa;Panasonic;Light;2/1/2022;87;2877.9420428047506
pipoqueira;Xiaomi;Plaza Sul;3/1/2022;52;558.2764692127217
pipoqueira;Xiaomi;Center Norte;3/1/2022;52;558.2764692127217
pipoqueira;Xiaomi;Light;3/1/2022;52;558.2764692127217
TV;Brastemp;Plaza Sul;3/1/2022;38;2696.294840782302
TV;Brastemp;Center Norte;3/1/2022;38;2696.294840782302
TV;Brastemp;Light;3/1/2022;38;2696.294840782302
celular;Arno;Plaza Sul;3/1/2022;26;2520.487471577303
celular;Arno;Center Norte;3/1/2022;26;2520.487471577303
celular;Arno;Light;3/1/2022;26;2520.487471577303
celular;Acer;Plaza Sul;3/1/2022;23;1287.5030821502423
celular;Acer;Center Norte;3/1/2022;23;1287.5030821502423
